id,incident_id,name,description,data,data,updated_date
LOGS_00011,INC00011,Trading System Order Logs,Logs from Trading System Alpha related to order placement and execution,"[{\""timestamp\"": \""2025-03-20 09:01:00\"", \""order_id\"": \""ORD123\"", \""status\"": \""SUBMITTED\""}, {\""timestamp\"": \""2025-03-20 09:16:00\"", \""order_id\"": \""ORD124\"", \""status\"": \""FAILED\"", \""reason\"": \""NETWORK_ERROR\""}, {\""timestamp\"": \""2025-03-20 09:25:00\"", \""order_id\"": \""ORD125\"", \""status\"": \""EXECUTED\""}, {\""timestamp\"": \""2025-03-20 09:30:00\"", \""order_id\"": \""ORD126\"", \""status\"": \""CANCELLED\""}, {\""timestamp\"": \""2025-03-20 09:40:00\"", \""order_id\"": \""ORD127\"", \""status\"": \""PENDING\""}, {\""timestamp\"": \""2025-03-20 09:50:00\"", \""order_id\"": \""ORD128\"", \""status\"": \""REJECTED\""}]",2025-03-20 09:00:00,2025-03-20 09:17:00
LOGS_00012,INC00012,Transaction Database Query Logs,Logs showing queries executed on Transaction Database Beta,"[{\""timestamp\"": \""2025-03-20 10:16:00\"", \""query\"": \""SELECT * FROM transactions WHERE date = ...\"", \""duration_ms\"": 500}, {\""timestamp\"": \""2025-03-20 10:18:00\"", \""query\"": \""UPDATE accounts SET balance = ...\"", \""duration_ms\"": 1200}, {\""timestamp\"": \""2025-03-20 10:25:00\"", \""query\"": \""INSERT INTO logs (user_id, action) VALUES ...\"", \""duration_ms\"": 200}, {\""timestamp\"": \""2025-03-20 10:30:00\"", \""query\"": \""DELETE FROM temp_data WHERE id = ...\"", \""duration_ms\"": 800}, {\""timestamp\"": \""2025-03-20 10:40:00\"", \""query\"": \""SELECT AVG(amount) FROM transactions WHERE ...\"", \""duration_ms\"": 1500}, {\""timestamp\"": \""2025-03-20 10:50:00\"", \""query",2025-03-20 10:15:00,2025-03-20 10:19:00
LOGS_00013,INC00013,Risk Calculation Engine Logs,Logs from Risk Management Server Gamma's calculation engine,"[{\""timestamp\"": \""2025-03-20 11:31:00\"", \""level\"": \""ERROR\"", \""message\"": \""Calculation error for portfolio P123\""}, {\""timestamp\"": \""2025-03-20 11:59:00\"", \""level\"": \""INFO\"", \""message\"": \""Overnight risk calculation completed\""}, {\""timestamp\"": \""2025-03-20 12:05:00\"", \""level\"": \""WARNING\"", \""message\"": \""Market data feed unavailable\""}, {\""timestamp\"": \""2025-03-20 12:10:00\"", \""level\"": \""INFO\"", \""message\"": \""Risk report generated successfully\""}, {\""timestamp\"": \""2025-03-20 12:15:00\"", \""level\"": \""ERROR\"", \""message\"": \""Invalid input parameters\""}, {\""timestamp\"": \""2025-03-20 12:20:00\"", \""level\"": \""DEBUG\"", \""message\"": \""Calculation engine started\""}]",2025-03-20 11:30:00,2025-03-20 12:00:00
LOGS_00014,INC00014,Customer Portal Authentication Logs,Logs related to customer login attempts on the Customer Portal Web,"[{\""timestamp\"": \""2025-03-21 13:46:00\"", \""user_id\"": \""cust001\"", \""status\"": \""LOGIN_SUCCESS\""}, {\""timestamp\"": \""2025-03-21 13:52:00\"", \""user_id\"": \""cust002\"", \""status\"": \""LOGIN_FAILURE\"", \""reason\"": \""INVALID_PASSWORD\""}, {\""timestamp\"": \""2025-03-21 13:58:00\"", \""user_id\"": \""cust003\"", \""status\"": \""LOGIN_SUCCESS\""}, {\""timestamp\"": \""2025-03-21 14:05:00\"", \""user_id\"": \""cust004\"", \""status\"": \""LOGIN_FAILURE\"", \""reason\"": \""ACCOUNT_LOCKED\""}, {\""timestamp\"": \""2025-03-21 14:10:00\"", \""user_id\"": \""cust005\"", \""status\"": \""LOGIN_SUCCESS\""}, {\""timestamp\"": \""2025-03-21 14:15:00\"", \""user_id\"": \""cust006\"", \""status\"": \""LOGIN_FAILURE\"", \""reason\"": \""INVALID_USERNAME\""}]",2025-03-21 13:45:00,2025-03-21 13:53:00
LOGS_00015,INC00015,Payment Gateway Processing Logs,Logs from Payment Gateway Delta showing transaction processing details,"[{\""timestamp\"": \""2025-03-22 15:01:00\"", \""transaction_id\"": \""TXN456\"", \""status\"": \""PROCESSING\"", \""amount\"": 100.00}, {\""timestamp\"": \""2025-03-22 15:15:00\"", \""transaction_id\"": \""TXN457\"", \""status\"": \""TIMEOUT\""}, {\""timestamp\"": \""2025-03-22 15:20:00\"", \""transaction_id\"": \""TXN458\"", \""status\"": \""SUCCESS\"", \""amount\"": 50.00}, {\""timestamp\"": \""2025-03-22 15:25:00\"", \""transaction_id\"": \""TXN459\"", \""status\"": \""FAILED\"", \""reason\"": \""INSUFFICIENT_FUNDS\""}, {\""timestamp\"": \""2025-03-22 15:30:00\"", \""transaction_id\"": \""TXN460\"", \""status\"": \""PROCESSING\"", \""amount\"": 200.00}, {\""timestamp\"": \""2025-03-22 15:35:00\"", \""transaction_id\"": \""TXN461\"", \""status\"": \""SUCCESS\"", \""amount\"": 75.00}]",2025-03-22 15:00:00,2025-03-22 15:16:00
LOGS_00016,INC00016,Reporting Server Application Logs,Logs from Reporting Server Epsilon showing report generation activities,"[{\""timestamp\"": \""2025-03-23 09:01:00\"", \""report_name\"": \""Daily Transactions\"", \""status\"": \""STARTED\""}, {\""timestamp\"": \""2025-03-23 09:05:00\"", \""report_name\"": \""Daily Transactions\"", \""status\"": \""FAILED\"", \""error\"": \""DATABASE_CONNECTION_ERROR\""}, {\""timestamp\"": \""2025-03-23 09:10:00\"", \""report_name\"": \""Weekly Sales\"", \""status\"": \""STARTED\""}, {\""timestamp\"": \""2025-03-23 09:15:00\"", \""report_name\"": \""Weekly Sales\"", \""status\"": \""SUCCESS\""}, {\""timestamp\"": \""2025-03-23 09:20:00\"", \""report_name\"": \""Monthly Summary\"", \""status\"": \""STARTED\""}, {\""timestamp\"": \""2025-03-23 09:25:00\"", \""report_name\"": \""Monthly Summary\"", \""status\"": \""PENDING\""}]",2025-03-23 09:00:00,2025-03-23 09:06:00
LOGS_00017,INC00017,Mobile Banking App Error Logs,Error logs from the Mobile Banking App,"[{\""timestamp\"": \""2025-03-20 17:46:00\"", \""user_id\"": \""mobileuser1\"", \""screen\"": \""ACCOUNT_BALANCE\"", \""error\"": \""INCORRECT_BALANCE_DISPLAYED\""}, {\""timestamp\"": \""2025-03-20 17:55:00\"", \""user_id\"": \""mobileuser2\"", \""screen\"": \""ACCOUNT_BALANCE\"", \""error\"": \""INCORRECT_BALANCE_DISPLAYED\""}, {\""timestamp\"": \""2025-03-20 18:00:00\"", \""user_id\"": \""mobileuser3\"", \""screen\"": \""TRANSFER_FUNDS\"", \""error\"": \""INVALID_AMOUNT\""}, {\""timestamp\"": \""2025-03-20 18:05:00\"", \""user_id\"": \""mobileuser4\"", \""screen\"": \""LOGIN\"", \""error\"": \""INVALID_CREDENTIALS\""}, {\""timestamp\"": \""2025-03-20 18:10:00\"", \""user_id\"": \""mobileuser1\"", \""screen\"": \""ACCOUNT_BALANCE\"", \""error\"": \""NETWORK_ERROR\""}, {\""timestamp\"": \""2025-03-20 18:15:00\"", \""user_id\"": \""mobileuser2\"", \""screen\"": \""LOGOUT\"", \""error\"": \""SESSION_EXPIRED\""}]",2025-03-20 17:45:00,2025-03-20 17:56:00
LOGS_00018,INC00018,Compliance Audit System Logs,Logs from Compliance Audit System Zeta showing generated alerts,"[{\""timestamp\"": \""2025-03-21 19:01:00\"", \""rule_id\"": \""RULE001\"", \""severity\"": \""HIGH\"", \""description\"": \""Suspicious transaction detected\""}, {\""timestamp\"": \""2025-03-21 19:10:00\"", \""rule_id\"": \""RULE002\"", \""severity\"": \""MEDIUM\"", \""description\"": \""Unusual account activity\""}, {\""timestamp\"": \""2025-03-21 19:15:00\"", \""rule_id\"": \""RULE003\"", \""severity\"": \""LOW\"", \""description\"": \""Failed login attempts\""}, {\""timestamp\"": \""2025-03-21 19:20:00\"", \""rule_id\"": \""RULE004\"", \""severity\"": \""HIGH\"", \""description\"": \""Large cash withdrawal\""}, {\""timestamp\"": \""2025-03-21 19:25:00\"", \""rule_id\"": \""RULE005\"", \""severity\"": \""MEDIUM\"", \""description\"": \""Account opened recently\""}, {\""timestamp\"": \""2025-03-21 19:30:00\"", \""rule_id\"": \""RULE006\"", \""severity\"": \""HIGH\"", \""description\"": \""Transaction from high-risk country\""}]",2025-03-21 19:00:00,2025-03-21 19:11:00
LOGS_00019,INC00019,ATM Network Controller Logs,Logs from the ATM Network Controller related to transaction processing,"[{\""timestamp\"": \""2025-03-22 20:31:00\"", \""atm_id\"": \""ATM001\"", \""transaction_type\"": \""WITHDRAWAL\"", \""status\"": \""FAILED\"", \""reason\"": \""SOFTWARE_ERROR\""}, {\""timestamp\"": \""2025-03-22 20:38:00\"", \""atm_id\"": \""ATM002\"", \""transaction_type\"": \""BALANCE_INQUIRY\"", \""status\"": \""SUCCESS\""}, {\""timestamp\"": \""2025-03-22 20:45:00\"", \""atm_id\"": \""ATM003\"", \""transaction_type\"": \""DEPOSIT\"", \""status\"": \""SUCCESS\""}, {\""timestamp\"": \""2025-03-22 20:50:00\"", \""atm_id\"": \""ATM001\"", \""transaction_type\"": \""WITHDRAWAL\"", \""status\"": \""SUCCESS\""}, {\""timestamp\"": \""2025-03-22 20:55:00\"", \""atm_id\"": \""ATM002\"", \""transaction_type\"": \""MINI_STATEMENT\"", \""status\"": \""SUCCESS\""}, {\""timestamp\"": \""2025-03-22 21:00:00\"", \""atm_id\"": \""ATM003\"", \""transaction_type\"": \""TRANSFER\"", \""status\"": \""FAILED\"", \""reason\"": \""INSUFFICIENT_FUNDS\""}]",2025-03-22 20:30:00,2025-03-22 20:39:00
LOGS_00020,INC00020,Fraud Detection System Logs,Logs from Fraud Detection System Eta showing triggered fraud alerts,"[{\""timestamp\"": \""2025-03-23 22:01:00\"", \""rule_id\"": \""FRAUD01\"", \""severity\"": \""HIGH\"", \""description\"": \""Large unusual transaction\""}, {\""timestamp\"": \""2025-03-23 22:10:00\"", \""rule_id\"": \""FRAUD02\"", \""severity\"": \""MEDIUM\"", \""description\"": \""Multiple failed login attempts\""}, {\""timestamp\"": \""2025-03-23 22:15:00\"", \""rule_id\"": \""FRAUD03\"", \""severity\"": \""HIGH\"", \""description\"": \""Suspicious account transfer\""}, {\""timestamp\"": \""2025-03-23 22:20:00\"", \""rule_id\"": \""FRAUD04\"", \""severity\"": \""LOW\"", \""description\"": \""Unusual spending pattern\""}, {\""timestamp\"": \""2025-03-23 22:25:00\"", \""rule_id\"": \""FRAUD05\"", \""severity\"": \""MEDIUM\"", \""description\"": \""New account activity\""}, {\""timestamp\"": \""2025-03-23 22:30:00\"", \""rule_id\"": \""FRAUD06\"", \""severity\"": \""HIGH\"", \""description\"": \""Transaction from high-risk location\""}]",2025-03-23 22:00:00,2025-03-23 22:11:00
LOGS_00021,INC00021,HRIS Application Logs,Application logs from the HRIS Application Server,"[{\""timestamp\"": \""2025-03-20 09:01:00\"", \""user\"": \""hr_user_01\"", \""action\"": \""view_employee_data\""}, {\""timestamp\"": \""2025-03-20 09:16:00\"", \""level\"": \""WARNING\"", \""message\"": \""Batch job taking longer than expected\""}, {\""timestamp\"": \""2025-03-20 09:25:00\"", \""user\"": \""hr_user_02\"", \""action\"": \""add_new_employee\""}, {\""timestamp\"": \""2025-03-20 09:30:00\"", \""level\"": \""INFO\"", \""message\"": \""User session started\""}, {\""timestamp\"": \""2025-03-20 09:40:00\"", \""level\"": \""ERROR\"", \""message\"": \""Database connection error\""}, {\""timestamp\"": \""2025-03-20 09:50:00\"", \""user\"": \""hr_admin_01\"", \""action\"": \""generate_report\""}]",2025-03-20 09:00:00,2025-03-20 09:17:00
LOGS_00022,INC00022,Employee Portal Access Logs,Access logs for the Employee Portal Web Server,"[{\""timestamp\"": \""2025-03-20 10:05:00\"", \""user\"": \""employee_02\"", \""action\"": \""login\"", \""status\"": \""success\""}, {\""timestamp\"": \""2025-03-20 10:18:00\"", \""level\"": \""ERROR\"", \""message\"": \""Database connection failed\""}, {\""timestamp\"": \""2025-03-20 10:25:00\"", \""user\"": \""employee_03\"", \""action\"": \""view_paystub\""}, {\""timestamp\"": \""2025-03-20 10:30:00\"", \""user\"": \""employee_04\"", \""action\"": \""download_form\""}, {\""timestamp\"": \""2025-03-20 10:40:00\"", \""user\"": \""employee_02\"", \""action\"": \""logout\""}, {\""timestamp\"": \""2025-03-20 10:50:00\"", \""level\"": \""INFO\"", \""message\"": \""Server restarted\""}]",2025-03-20 10:00:00,2025-03-20 10:19:00
LOGS_00023,INC00023,File Server Security Logs,Security logs from the file server hosting the HR documents share,"[{\""timestamp\"": \""2025-03-20 11:35:00\"", \""user\"": \""hr_admin_03\"", \""action\"": \""access_folder\"", \""status\"": \""denied\""}, {\""timestamp\"": \""2025-03-20 11:50:00\"", \""level\"": \""INFO\"", \""message\"": \""Group policy updated\""}, {\""timestamp\"": \""2025-03-20 12:05:00\"", \""user\"": \""employee_05\"", \""action\"": \""read_file\"", \""status\"": \""success\""}, {\""timestamp\"": \""2025-03-20 12:10:00\"", \""level\"": \""WARNING\"", \""message\"": \""Unauthorized access attempt\""}, {\""timestamp\"": \""2025-03-20 12:15:00\"", \""user\"": \""hr_user_04\"", \""action\"": \""write_file\"", \""status\"": \""success\""}, {\""timestamp\"": \""2025-03-20 12:20:00\"", \""level\"": \""ERROR\"", \""message\"": \""File system corruption\""}]",2025-03-20 11:30:00,2025-03-20 11:51:00
LOGS_00024,INC00024,Time Tracking System Logs,Application logs from the Time Tracking System Server,"[{\""timestamp\"": \""2025-03-21 13:01:00\"", \""user\"": \""employee_04\"", \""action\"": \""submit",2025-03-21 13:00:00,2025-03-21 13:17:00
LOGS_00025,INC00025,Recruitment Application Logs,Application logs from the Recruitment Application Server,"[{\""timestamp\"": \""2025-03-22 14:05:00\"", \""user\"": \""candidate_123\"", \""action\"": \""login\"", \""status\"": \""failed\"", \""reason\"": \""invalid_credentials\""}, {\""timestamp\"": \""2025-03-22 14:18:00\"", \""level\"": \""WARNING\"", \""message\"": \""Authentication module rollback initiated\""}, {\""timestamp\"": \""2025-03-22 14:25:00\"", \""user\"": \""recruiter_01\"", \""action\"": \""view_application\"", \""status\"": \""success\""}, {\""timestamp\"": \""2025-03-22 14:30:00\"", \""user\"": \""candidate_124\"", \""action\"": \""apply_job\"", \""status\"": \""success\""}, {\""timestamp\"": \""2025-03-22 14:40:00\"", \""level\"": \""INFO\"", \""message\"": \""Email sent to candidate\""}, {\""timestamp\"": \""2025-03-22 14:50:00\"", \""user\"": \""recruiter_02\"", \""action\"": \""schedule_interview\"", \""status\"": \""success\""}]",2025-03-22 14:00:00,2025-03-22 14:19:00
LOGS_00026,INC00026,Benefits System Audit Logs,Audit logs from the external Benefits Administration System,"[{\”timestamp\"": \""2025-03-23 08:01:00\"", \""user\"": \""employee_06\"", \""action\"": \""view_benefits\""}, {\""timestamp\"": \""2025-03-23 08:15:00\"", \""level\"": \""ERROR\"", \""message\"": \""Service unavailable\""}, {\""timestamp\"": \""2025-03-23 08:20:00\"", \""user\"": \""employee_07\"", \""action\"": \""enroll_benefits\""}, {\""timestamp\"": \""2025-03-23 08:25:00\"", \""level\"": \""INFO\"", \""message\"": \""Benefits enrollment successful\""}, {\""timestamp\"": \""2025-03-23 08:30:00\"", \""user\"": \""employee_08\"", \""action\"": \""change_dependent\""}, {\""timestamp\"": \""2025-03-23 08:35:00\"", \""level\"": \""WARNING\"", \""message\"": \""Data synchronization issue\""}]",2025-03-23 08:00:00,2025-03-23 08:16:00
LOGS_00027,INC00027,HR Reporting Server Logs,Application logs from the HR Reporting Server,"[{\""timestamp\"": \""2025-03-21 16:05:00\"", \""report\"": \""Employee Headcount\"", \""status\"": \""started\""}, {\""timestamp\"": \""2025-03-21 16:18:00\"", \""level\"": \""ERROR\"", \""message\"": \""Database connection error\""}, {\""timestamp\"": \""2025-03-21 16:25:00\"", \""report\"": \""Salary Summary\"", \""status\"": \""started\""}, {\""timestamp\"": \""2025-03-21 16:30:00\"", \""level\"": \""INFO\"", \""message\"": \""Report generation in progress\""}, {\""timestamp\"": \""2025-03-21 16:40:00\"", \""report\"": \""Employee Directory\"", \""status\"": \""started\""}, {\""timestamp\"": \""2025-03-21 16:50:00\"", \""level\"": \""WARNING\"", \""message\"": \""Report size exceeded limit\""}]",2025-03-21 16:00:00,2025-03-21 16:19:00
LOGS_00028,INC00028,Email Server Logs - HR Department,Email server logs related to the HR department's shared account,"[{\""timestamp\"": \""2025-03-22 18:05:00\"", \""sender\"": \""external@company.com\"", \""recipient\"": \""hr.department@example.com\"", \""action\"": \""received\"", \""status\"": \""blocked\"", \""reason\"": \""spam\""}, {\""timestamp\"": \""2025-03-22 18:18:00\"", \""level\"": \""INFO\"", \""message\"": \""Spam filter settings adjusted\""}, {\""timestamp\"": \""2025-03-22 18:25:00\"", \""sender\"": \""internal@company.com\"", \""recipient\"": \""hr.department@example.com\"", \""action\"": \""sent\"", \""status\"": \""success\""}, {\""timestamp\"": \""2025-03-22 18:30:00\"", \""level\"": \""WARNING\"", \""message\"": \""Email delivery delayed\""}, {\""timestamp\"": \""2025-03-22 18:40:00\"", \""sender\"": \""another_external@company.com\"", \""recipient\"": \""hr.department@example.com\"", \""action\"": \""received\"", \""status\"": \""success\""}, {\""timestamp\"": \""2025-03-22 18:50:00\"", \""level\"": \""ERROR\"", \""message\"": \""Mail server connection lost\""}]",2025-03-22 18:00:00,2025-03-22 18:19:00
LOGS_00029,INC00029,Laptop Application Logs - John Smith,Application event logs from John Smith's laptop,"[{\""timestamp\"": \""2025-03-23 20:01:00\"", \""application\"": \""Outlook\"", \""status\"": \""running\""}, {\""timestamp\"": \""2025-03-23 20:16:00\"", \""application\"": \""HRIS Client\"", \""status\"": \""not responding\""}, {\""timestamp\"": \""2025-03-23 20:25:00\"", \""application\"": \""Chrome\"", \""status\"": \""running\""}, {\""timestamp\"": \""2025-03-23 20:30:00\"", \""application\"": \""Word\"", \""status\"": \""running\""}, {\""timestamp\"": \""2025-03-23 20:40:00\"", \""application\"": \""Excel\"", \""status\"": \""running\""}, {\""timestamp\"": \""2025-03-23 20:50:00\"", \""application\"": \""PowerPoint\"", \""status\"": \""not responding\""}]",2025-03-23 20:00:00,2025-03-23 20:17:00
