id,title,description,reported_by,status,priority,severity,assigned_group,assigned_to,resolution_notes,closure_code,closed_date,incident_type,cmdb_ci_id,work_around_id,known_problem_id,rca_document_id,change_request_id,telemetry_id,logs_id,created_date,updated_date,
INC00018,Excessive Compliance Alert Volume,Compliance team is receiving an overwhelming number of compliance alerts.,compliance_officer808,Resolved,Medium,Major,Compliance IT,compliance_it_01,Adjusted the configuration of an overly sensitive compliance rule.,Fixed,2025-03-22 20:45:00,Compliance System Issue,CMDBCI00018,WRK_AROUND_00018,KWN_ISSUE_00018,RCA_D_00018,CHNG_00018,TELE_00018,LOGS_00018,2025-03-21 19:00:00,2025-03-22 20:45:00,
INC00019,ATM Cash Withdrawal Errors,Customers are reporting errors when trying to withdraw cash from ATMs.,atm_support909,Resolved,High,Critical,ATM Operations Support,atm_support_01,Rolled back the ATM software to the previous stable version due to a software glitch.,Fixed,2025-03-23 22:15:00,ATM Issue,CMDBCI00019,WRK_AROUND_00019,KWN_ISSUE_00019,RCA_D_00019,CHNG_00019,TELE_00019,LOGS_00019,2025-03-22 20:30:00,2025-03-23 22:15:00,
INC00020,High Volume of False Positive Fraud Alerts,Security team is investigating a high number of false positive fraud alerts.,fraud_analyst1010,Resolved,Medium,Major,Fraud Prevention IT,fraud_it_01,Adjusted the sensitivity of a fraud detection rule that was triggering too many false positives.,Fixed,2025-03-24 18:00:00,Fraud Detection Issue,CMDBCI00020,WRK_AROUND_00020,KWN_ISSUE_00020,RCA_D_00020,,TELE_00020,LOGS_00020,2025-03-23 22:00:00,2025-03-24 18:00:00,
INC00021,HRIS Application Running Slowly,Users are reporting that the HRIS application is very slow and unresponsive.,hr_user_01,Resolved,High,Major,HR IT Support,it_support_01,Optimized the SQL queries in the batch job causing high CPU.,Fixed,2025-03-20 11:00:00,Application Performance,CMDBCI00021,WRK_AROUND_00021,KWN_ISSUE_00021,RCA_D_00021,CHNG_00021,TELE_00021,LOGS_00021,2025-03-20 09:05:00,2025-03-20 11:00:00,
INC00022,Employees Cannot Access Payroll Slips Online,Multiple employees are unable to view their payroll slips on the employee portal.,employee_02,Resolved,High,Critical,Employee Portal Support,portal_support_01,Restarted the payroll database service which resolved the connection issues.,Fixed,2025-03-20 12:15:00,Access Issue,CMDBCI00022,WRK_AROUND_00022,KWN_ISSUE_00022,RCA_D_00022,,TELE_00022,LOGS_00022,2025-03-20 10:10:00,2025-03-20 12:15:00,
INC00023,HR Shared Drive Permissions Incorrect,HR staff are unable to access certain documents on the shared network drive.,hr_admin_03,Resolved,Medium,Major,File Server Support,fs_support_01,Corrected the group policy that was causing the incorrect permissions.,Fixed,2025-03-21 14:00:00,Permissions Issue,CMDBCI00023,WRK_AROUND_00023,KWN_ISSUE_00023,RCA_D_00023,CHNG_00023,TELE_00023,LOGS_00023,2025-03-20 11:40:00,2025-03-21 14:00:00,
INC00024,Time Tracking System Errors During Submission,Employees are getting errors when trying to submit their weekly time entries.,employee_04,Resolved,Medium,Major,Application Support,app_support_02,Restarted the time tracking application service.,Fixed,2025-03-21 15:30:00,Application Error,CMDBCI00024,WRK_AROUND_00024,KWN_ISSUE_00024,RCA_D_00024,,TELE_00024,LOGS_00024,2025-03-21 13:50:00,2025-03-21 15:30:00,
INC00025,External Candidates Unable to Login to Recruitment Portal,Job applicants are reporting issues when trying to log into the recruitment application.,recruiter_05,Resolved,High,Major,Recruitment App Support,recruit_support_01,Rolled back the authentication module to the previous version.,Fixed,2025-03-22 16:45:00,Login Issue,CMDBCI00025,WRK_AROUND_00025,KWN_ISSUE_00025,RCA_D_00025,CHNG_00025,TELE_00025,LOGS_00025,2025-03-22 14:15:00,2025-03-22 16:45:00,
INC00026,Intermittent Errors Accessing Benefits System,Employees are occasionally getting errors when trying to view their benefits information online.,employee_06,Resolved,Medium,Minor,Benefits System Support,benefits_support_01,The external vendor resolved the temporary system outage.,Fixed,2025-03-23 11:00:00,External System Issue,CMDBCI00026,WRK_AROUND_00026,KWN_ISSUE_00026,RCA_D_00026,,TELE_00026,LOGS_00026,2025-03-23 09:05:00,2025-03-23 11:00:00,
INC00027,Scheduled HR Reports Not Generating,The daily HR reports that are scheduled to run overnight are not being generated.,hr_analyst_07,Resolved,High,Major,HR Reporting Support,report_support_01,Restarted the reporting service and the database connection.,Fixed,2025-03-21 19:30:00,Reporting Issue,CMDBCI00027,WRK_AROUND_00027,KWN_ISSUE_00027,RCA_D_00027,,TELE_00027,LOGS_00027,2025-03-20 17:50:00,2025-03-21 19:30:00,
INC00028,HR Department Not Receiving External Emails,The HR department's shared email inbox is not receiving emails from outside the organization.,hr_manager_08,Resolved,High,Critical,Email Support,email_support_01,Adjusted the spam filter settings to allow legitimate external emails.,Fixed,2025-03-22 20:45:00,Email Issue,CMDBCI00028,WRK_AROUND_00028,KWN_ISSUE_00028,RCA_D_00028,CHNG_00028,TELE_00028,LOGS_00028,2025-03-21 19:05:00,2025-03-22 20:45:00,
INC00029,HR Manager's Laptop Running Extremely Slow,The HR Manager is experiencing significant performance issues with their laptop.,hr_manager_09,Resolved,High,Major,Desktop Support,tech_support_02,Identified and closed unnecessary applications; performed disk cleanup.,Fixed,2025-03-23 22:15:00,Hardware Issue,CMDBCI00029,WRK_AROUND_00029,KWN_ISSUE_00029,RCA_D_00029,,TELE_00029,LOGS_00029,2025-03-22 20:35:00,2025-03-23 22:15:00,
INC00030,Payroll Processing Job Failed Overnight,The automated payroll processing job failed to complete last night.,payroll_admin_10,Resolved,High,Critical,Payroll Support,payroll_support_01,Restarted the failed payroll job after resolving a database deadlock.,Fixed,2025-03-24 18:00:00,Payroll Issue,CMDBCI00030,WRK_AROUND_00030,KWN_ISSUE_00030,RCA_D_00030,,TELE_00030,LOGS_00030,2025-03-23 22:05:00,2025-03-24 18:00:00,
INC00031,Credit Card Processing System Outage,Customers are reporting that their credit card transactions are failing at POS terminals.,customer_support_01,Open,High,Critical,Credit Card Processing Support,cc_proc_support_01,,,Outage,,,,,,,,,2025-03-26 09:00:00,2025-03-26 09:15:00,
INC00032,Unable to Access Credit Card Account Online,Multiple customers are reporting they cannot log in to their credit card accounts through the online banking portal.,customer_service_02,Investigating,High,Major,Online Banking Support,online_banking_support_01,,,Access Issue,,,,,,,,,2025-03-26 09:30:00,2025-03-26 09:45:00,
INC00033,High Call Volume - Incorrect Late Payment Fees,The call center is experiencing a surge in calls regarding incorrect late payment fees charged on credit card statements.,call_center_agent_03,New,Medium,Major,Credit Card Services Call Center,cc_call_center_agent_01,,,Billing Issue,,,,,,,,,2025-03-26 10:00:00,2025-03-26 10:10:00,
INC00034,Potential Fraudulent Activity Detected,The fraud detection system has flagged a high number of potentially fraudulent transactions on various credit card accounts.,fraud_analyst_04,In Progress,High,Critical,Fraud Detection Team,fraud_analyst_01,,,Security Incident,,,,,,,,,2025-03-26 10:30:00,2025-03-26 10:40:00,
INC00035,Error in Credit Card Statement Generation,Customers are reporting missing or incorrect information on their latest credit card statements.,statement_processing_05,Open,High,Major,Statement Processing Team,statement_processor_01,,,Data Error,,,,,,,,,2025-03-26 11:00:00,2025-03-26 11:10:00,
